predictor,median,lower,upper,St_median,St_lower,St_upper
Chilling,-0.9012620578969213,-1.4283287981812927,-0.4100881682203043,-0.05979252924669938,-0.09475977679393847,-0.0272065250913318
Temperature,-5.254938049449402,-6.064301630032778,-4.402868508737381,-4.102774472769168,-4.734682252910258,-3.437524163867103
Temperature x Chilling,-0.8038609386197813,-1.5920740473661175,-0.11656016518309892,-0.8038609386197813,-1.5920740473661175,-0.11656016518309892
