parameter,year,median,lower,upper
Gree-up rate,2010,0.23330706842364268,0.19341776477422254,0.292112165105233
Gree-up rate,2011,0.08669624123395349,0.07941315507998577,0.09456091711675838
Gree-up rate,2012,0.2620670370285674,0.2081076269340009,0.32045150044753723
Gree-up rate,2013,0.3059992468751491,0.27077547604438107,0.3439276266726001
Gree-up rate,2014,0.10076955246082211,0.08620964211522734,0.13128106113655766
Gree-up rate,2015,0.22017743661341999,0.20639393264957978,0.23563178799938483
Start of season,1985,141.08457304190773,139.29082415254922,143.01240532391193
Start of season,1986,131.16721509141493,130.39069786760626,131.93309940871802
Start of season,1987,140.512061354502,138.66112515555986,142.34509862775826
Start of season,1988,133.5178551230935,132.88036624981817,134.17740691547192
Start of season,1989,130.27058126816866,127.66445297866721,132.62191315909232
Start of season,1990,130.84697113816327,129.2791036467503,132.1750222042512
Start of season,1991,149.72354993718187,147.93386643497223,151.91377553026678
Start of season,1992,137.864253614301,136.39861285781762,139.38888579441036
Start of season,1993,124.30800253335917,123.63800944209947,124.98217292512409
Start of season,1994,133.4353169137397,131.56752006503044,135.74267426113286
Start of season,1995,140.520158491794,139.36317476661114,141.64570007156175
Start of season,1996,137.2226554999281,134.18554405802524,139.7653579932728
Start of season,1997,132.96820398028882,132.2455271295039,133.68721157219142
Start of season,1998,130.9107506399584,127.85942680917523,133.91393262973494
Start of season,1999,132.40654108293762,129.16864499117614,136.19776869366916
Start of season,2000,122.1025662876191,121.63153339045039,122.55825717413119
Start of season,2001,128.59849274910533,127.99316175434653,129.19142025412953
Start of season,2002,129.79098655351487,129.20400876874237,130.35458118609398
Start of season,2003,124.85806727800556,123.8158024786418,125.95897738780157
Start of season,2004,139.3901749487348,137.69304008975018,140.90301635458923
Start of season,2005,137.5179982857714,136.5107642235488,138.47543640380712
Start of season,2006,130.42051394241747,129.865482377513,130.97540825538394
Start of season,2007,114.90927990179571,114.43429433631664,115.35845518672625
Start of season,2008,131.3855988647,130.348064873883,132.3475063248584
Start of season,2009,119.51577911161624,116.80076697249095,122.78803700364398
Start of season,2010,136.90068482071428,135.12304451961242,138.64378479323335
Start of season,2011,128.64832024570853,127.69409427763809,129.63286130301745
Start of season,2012,130.30732890174704,129.24127855590942,131.46208422317565
Start of season,2013,132.97035579641965,132.4107835366351,133.51497165237245
Start of season,2014,127.2379264540013,125.75829014263675,128.76660804883127
Start of season,2015,126.05710054455864,125.4856902863048,126.61478899313681
